Disease,Content
allergy,"An allergy is where your body reacts to something that's normally harmless like pollen, dust or animal fur. The symptoms can be mild, but for some people they can be very serious. Causes of allergies Things that cause allergic reactions are called allergens. Common allergens include: tree and grass pollen (hay fever), house dust mites, foods, such as peanuts, milk and eggs (food allergy), animals, particularly pets like cats and dogs, insect stings, such as bee and wasp stings, certain medicines. Check if it's an allergy Symptoms of an allergic reaction can include: a runny nose or sneezing, pain or tenderness around your cheeks, eyes or forehead, coughing, wheezing or breathlessness, itchy skin or a raised rash (hives), diarrhoea, feeling or being sick, swollen eyes, lips, mouth or throat. Treatments for allergies include: trying to avoid the thing you're allergic to whenever possible, medicines for mild allergic reactions like antihistamines, steroid tablets and steroid creams, emergency medicines called adrenaline auto-injectors, such as an EpiPen, for severe allergic reactions, desensitisation (immunotherapy) for severe allergic reactions – this involves carefully exposing you to the thing you're allergic to over time, so your body gradually gets used to it and does not react so badly (this should only be done by a medical professional). Your specialist will give you an allergy management plan that will explain how to manage your allergy."
alzheimer's disease,"Alzheimer's disease is the most common cause of dementia in the UK. Dementia is the name for a group of symptoms associated with an ongoing decline of brain functioning. It can affect memory, thinking skills and other mental abilities. The exact cause of Alzheimer's disease is not yet fully understood, although a number of things are thought to increase your risk of developing the condition. These include: increasing age, a family history of the condition, untreated depression, although depression can also be one of the symptoms of Alzheimer's disease, lifestyle factors and conditions associated with cardiovascular disease. Signs and symptoms of Alzheimer's disease Alzheimer’s disease is a progressive condition, which means the symptoms develop gradually over many years and eventually become more severe. It affects multiple brain functions. The first sign of Alzheimer's disease is usually minor memory problems. For example, this could be forgetting about recent conversations or events, and forgetting the names of places and objects. As the condition develops, memory problems become more severe and further symptoms can develop, such as: confusion, disorientation and getting lost in familiar places, difficulty planning or making decisions, problems with speech and language, problems moving around without assistance or performing self-care tasks, personality changes, such as becoming aggressive, demanding and suspicious of others, hallucinations (seeing or hearing things that are not there) and delusions (believing things that are untrue), low mood or anxiety. Alzheimer's disease is most common in people over the age of 65. The risk of Alzheimer's disease and other types of dementia increases with age, affecting an estimated 1 in 14 people over the age of 65 and 1 in every 6 people over the age of 80. But around 1 in every 13 people with Alzheimer's disease are under the age of 65. This is called early- or young-onset Alzheimer's disease. Getting a diagnosis As the symptoms of Alzheimer's disease progress slowly, it can be difficult to recognise that there's a problem. Many people feel that memory problems are simply a part of getting older. Also, the disease process itself may (but not always) prevent people recognising changes in their memory. But Alzheimer's disease is not a ""normal"" part of the ageing process. An accurate and timely diagnosis of Alzheimer's disease can give you the best chance to prepare and plan for the future, as well as receive any treatment or support that may help. If you're worried about your memory or think you may have dementia, it's a good idea to see a GP."
anxiety state,"Anxiety state or Generalised anxiety disorder (GAD) is a common mental health condition where you often feel very anxious about lots of different things. The main symptom of generalised anxiety disorder (GAD) is feelings of stress or worry that affect your daily life and are difficult to control. Other symptoms of GAD may include: difficulty sleeping, feeling restless, irritable or finding it difficult to concentrate, getting tired easily, feeling tense, stomach problems. How generalised anxiety disorder (GAD) is diagnosed If you see a GP about symptoms of generalised anxiety disorder (GAD), they'll ask you some questions about your worries and physical symptoms. It's important to try and be honest with them, even if it may be difficult to talk about your emotions. This will help them to diagnose or rule out an anxiety disorder. A GP may diagnose GAD if you have the typical symptoms and: you often worry about a wide range of things, feelings of anxiety are affecting your daily life, you're finding it hard to control your feelings, you have felt anxious a lot of the time for at least 6 months, a more noticeable or unusual heartbeat (palpitations), feeling lightheaded or dizzy, low mood or depression. There are also other types of anxiety disorder and it's common to have more than one at the same time. For example: sudden attacks of anxiety and panic (panic disorder), an overwhelming fear of something specific (phobias)."
bacteremia,"Bacteremia is the presence of bacteria in your blood. If you have symptoms, they’re usually mild. Bacteria can enter your blood in different ways, including wounds, medical procedures and even brushing or flossing your teeth too hard. Your blood is typically sterile, meaning it doesn’t have any bacteria or other germs. Bacteria can enter your blood in many possible ways, but it typically happens through skin wounds like cuts, scrapes or burns. Other common names for bacteremia are bloodstream infection (BSI) and blood poisoning. How serious is bacteremia? Bacteremia can be a serious condition, especially in people with weak immune systems that may be unable to fight off infections. Without treatment, bacteremia can cause other infections in your body. Can bacteremia be fatal? Yes, without treatment, bacteremia can progress to sepsis. Sepsis can cause organ failure and death. What are the symptoms of bacteremia? When your immune system recognizes bacteria in your blood, it removes them from your body, usually without any symptoms or only a mild fever. However, if bacteremia progresses to sepsis or septic shock, you may develop symptoms, such as: Chills. Fast heart rate (tachycardia). Low blood pressure (hypotension). Abdominal pain. Nausea and vomiting. Diarrhea. Rapid breathing (hyperventilation)."
benign prostatic hypertrophy," Benign Prostatic hypertrophy or Benign prostatic hyperplasia (BPH) is the medical term for an enlarged prostate. The condition affects the prostate gland in men. The enlargement isn’t caused by cancer or infection. The prostate is a gland in the male reproductive system. It lies just below the bladder. It makes fluid that is part of semen. What is an enlarged prostate (BPH)? An enlarged prostate is when your prostate gland becomes larger than normal. It's also called benign prostatic hyperplasia or BPH for short. Benign means not cancer. And hyperplasia means too much cell growth. BPH isn't cancer and it doesn't increase your risk of getting prostate cancer. Usually, the prostate gland continues to grow during adult life. That's why BPH is the most common prostate condition in people over age 50. As the prostate gets bigger, it may press against the bladder and pinch the urethra. This can slow or block the flow of urine out of your bladder. Over time, the bladder muscle may become weak from trying to pass urine through a narrow urethra. When this happens, your bladder may not empty completely when you urinate. A narrowed urethra and weak bladder cause many of the urinary problems you may have with BPH. What causes an enlarged prostate (BPH)? Researchers aren't sure why the prostate keeps growing. Some researchers think changes in hormones with aging may cause the prostate to get bigger. What are the symptoms of BPH? Symptoms of BPH include: Having a frequent or urgent need to urinate. Waking up many times to urinate. Having problems with urine flow, such as: Trouble starting to urinate. A stream that's weak, slow, or stops and starts. Dribbling after urination. Urinary incontinence. Feeling that you can't completely empty your bladder. Pain after ejaculation or during urination. Urine with an unusual color or smell. It's important to see your health care provider if you have any of these symptoms because they could be from a more serious health problem. You should get medical help right away if you: Can't urinate at all. Have fever and chills with urination that's painful, frequent, and urgent. Have blood in your urine. Have pain in your lower abdomen (belly) and urinary tract."
biliary calculus,"Bile duct stones, also known as biliary calculi, are hardened deposits of digestive fluid that can form in the bile ducts. These stones can cause blockage and inflammation in the bile ducts, leading to symptoms such as pain, jaundice, and infection.Which are the symptoms?Pain (biliary colic); although gallstones can migrate into the duodenum without giving symptoms, in the vast majority of cases, they cause a sudden pain in the upper and right part of the abdomen that can then last from a few minutes to hours, be intermittent and radiate to the right side as well as being associated with other symptoms; Nausea; Vomiting; Fever; in particular, fever with chills is observed for bacterial infection of the bile that stagnates when stones obstruct, even temporarily, the bile ducts (acute cholangitis); Jaundice; it is an expression of complete obstruction of the main biliary tract by stones. How is it treated? The removal of stones from the gallbladder is accomplished through cholecystectomy, usually performed laparoscopically (VLC). Instead, stone removal from the biliary tract is commonly performed through an endoscopic procedure called endoscopic retrograde cholangio-pancreatography (ERCP). Through this procedure, stones are extracted from the biliary tract by performing what is known as a biliary sphincterotomy, a small cut in Oddi's sphincter, a muscular structure located where the main biliary route enters the duodenum. When stones are large and cannot be extracted with standard methods (basket or balloon), they can be fragmented with laser or electrohydraulic probes under direct endoscopic vision of the stones (cholangioscopy with lithotripsy). In the presence of biliary tract stones complicated by cholangitis, in addition to supportive medical therapy, including antibiotic therapy, the goal of ERCP is to remove the stones as soon as possible. When bile duct stones are associated with the presence of stones in the gallbladder (cholelithiasis), ERCP is usually performed before cholecystectomy. Calculi located in the intra-hepatic biliary tract are more difficult to remove with ERCP than calculi in the extra-hepatic biliary tract."
bronchial asthma,"Bronchial asthma is a chronic respiratory condition that causes inflammation and narrowing of the airways, leading to difficulty breathing. It is often triggered by allergens (such as pollen, dust, or pet dander), exercise, respiratory infections, or environmental factors like cold air. Symptoms include wheezing, shortness of breath, coughing, and chest tightness, particularly at night or early in the morning. Asthma attacks can be mild to severe and may be life-threatening if not properly managed."
candidiasis,"Candidiasis is a fungal infection caused by an overgrowth of yeast in your body. Healthy bacteria help balance the amount of yeast and disruption of this balance leads to an infection. Antifungal medications treat candidiasis and clear the infection between two days to two weeks, depending on severity. Candidiasis is caused by an overgrowth of a type of yeast that lives on your body (Candida albicans). It often appears on your skin, vagina, or mouth, where Candida naturally lives in small amounts. Healthy bacteria on your body prevent yeast overgrowth. Imagine a two-armed scale with healthy bacteria on one side and yeast on the other. The scale stays balanced until disruption occurs from stress, a poor diet, a weakened immune system, or an uncontrolled medical condition. When disrupted, a candidiasis infection occurs. Candidiasis can affect anyone since yeast naturally lives in our bodies and can easily disrupt the balance of yeast and healthy bacteria. Candidiasis most often affects: People with diabetes, People who are pregnant, Babies and infants, People who wear dentures, Hospitalized individuals, and Catheter users. Symptoms vary depending on the location of the infection and include: Red patch of skin (rash) with small, raised bumps (pustules), Itching, Burning sensation, Vaginal discharge (white or yellow), White patches or sores in your mouth causing loss of taste or pain when eating or swallowing, and Swelling (inflammation)."
carcinoma,"Carcinoma is a type of cancer that originates in the epithelial cells, which line the surfaces of the body and its organs. It is the most common type of cancer and can develop in various organs, including the lungs, breasts, colon, prostate, and skin. Carcinomas are generally classified into two main subtypes: adenocarcinomas, which arise from glandular tissue, and squamous cell carcinomas, which originate from squamous cells found in the skin or mucous membranes."
carcinoma breast,"Breast cancer is cancer that starts in the tissues of the breast. There are two main types of breast cancer: Ductal carcinoma, which starts in the tubes (ducts) that carry milk from the breast to the nipple and is the most common type, and Lobular carcinoma, which starts in the parts of the breast called lobules that produce milk. Early breast cancer often does not cause symptoms, making regular screening important to detect it early. As cancer grows, symptoms may include: a breast lump or a lump in the armpit that is hard, has uneven edges, and usually does not hurt; changes in breast or nipple size, shape, or feel, including redness, dimpling, or puckering that resembles the texture of an orange; and nipple discharge that may be bloody, clear to yellow, green, or pus-like. In men, breast cancer symptoms include a breast lump, breast pain, and tenderness. Advanced breast cancer symptoms may include: bone pain, shortness of breath, swelling of lymph nodes in the armpit (near the affected breast), and weight loss. Talk to your healthcare provider about how often to have a mammogram or other tests to screen for breast cancer. Early detection through mammograms greatly increases the chances of curing breast cancer. Mammography is typically recommended for women starting at age 40 and is generally repeated every 1 to 2 years. For women with a family history of breast cancer, additional risk assessment and testing may be necessary. Mammograms are most effective for women aged 40 to 74, while their effectiveness in women over 75 is less certain. Tamoxifen is approved for breast cancer prevention in women aged 35 and older at high risk, and raloxifene is approved for postmenopausal women. Speak with your provider to discuss appropriate preventive measures."
carcinoma colon,"Colon cancer, also known as bowel cancer, can be found anywhere in the large bowel, including the colon and rectum. Symptoms may include changes in bowel habits, such as softer stools, diarrhea, or constipation that is unusual for you; needing to pass stools more or less often than usual; blood in stools, which may appear red or black; bleeding from the rectum; frequent urges to have a bowel movement even after recently using the toilet; abdominal pain; a lump in the abdomen; bloating; unexplained weight loss; and extreme fatigue. Bowel cancer may also lead to anemia, causing tiredness, shortness of breath, and headaches."
carcinoma of lung,"Carcinoma of Lung  or Lung cancer is one of the most common and serious cancers, with over 43,000 cases diagnosed annually in the UK. Symptoms often don’t appear in early stages, but may include a persistent cough, coughing up blood, persistent breathlessness, unexplained fatigue, weight loss, and pain when breathing or coughing. Types of lung cancer include primary lung cancer, which originates in the lungs, and secondary lung cancer, which spreads to the lungs from other areas. Primary lung cancer has two main forms: non-small-cell lung cancer (80-85% of cases), which includes squamous cell carcinoma, adenocarcinoma, and large-cell carcinoma; and small-cell lung cancer, which spreads more quickly. The type of lung cancer affects the recommended treatments."
carcinoma prostate,"Carcinoma prostate or Prostate cancer is a slow-developing cancer, often with no symptoms for many years. Symptoms appear once the prostate is large enough to impact the urethra, causing issues such as an increased need to urinate, straining during urination, and feeling as though the bladder is not fully emptied. While these symptoms don't necessarily indicate prostate cancer, they should be checked. Causes are largely unknown, but risk factors include age (most cases are in men 50+), family history, ethnicity (higher in black men, lower in Asian men), and obesity."
chicken pox,"Chickenpox is a common, self-limiting illness that primarily affects children but can occur at any age. It typically resolves within 1-2 weeks without requiring a GP visit. The main symptom is an itchy, spotty rash that appears anywhere on the body. Chickenpox progresses in three stages: spots, blisters, and scabs, with new spots sometimes appearing while others blister or scab. Other symptoms include a high temperature, aches, pains, feeling unwell, and loss of appetite. Adults tend to have a higher temperature for longer and more spots than children. Re-infection is possible but rare."
cholecystitis,"Acute cholecystitis is inflammation of the gallbladder, usually occurring when a gallstone blocks the cystic duct, which is the main opening of the gallbladder. Gallstones, small stones typically made of cholesterol, are common and affect more than 1 in 10 adults in the UK. Although they often do not cause symptoms, they can lead to episodes of pain known as biliary colic or cause acute cholecystitis, which is potentially serious due to the risk of complications. Acute cholecystitis generally requires hospital treatment, including rest, intravenous fluids, and antibiotics. The main symptom is a sudden, sharp pain in the upper right side of the abdomen that spreads towards the right shoulder. This area is usually very tender, and the pain may intensify with deep breathing. Unlike other types of abdominal pain, the pain from acute cholecystitis tends to persist and does not subside within a few hours. Additional symptoms can include a high temperature, nausea, vomiting, sweating, loss of appetite, jaundice (yellowing of the skin and eyes), and a bulge in the abdomen."
cholelithiasis,"Gallstones (cholelithiasis) are hardened pieces of bile that form in your gallbladder or bile ducts. They’re common, especially in women and people assigned female at birth. Gallstones don’t always cause problems, but they can if they get stuck in your biliary tract and block your bile flow. If your gallstones cause you symptoms, you’ll need treatment to remove them — typically, surgery. Gallstones typically don't cause symptoms unless they become lodged and cause a blockage. This blockage can result in symptoms such as upper abdominal pain and nausea, which may be intermittent or persistent. If the blockage is severe or lasts for a long time, additional symptoms may develop, including sweating, fever, a fast heart rate, abdominal swelling and tenderness, a yellow tint to the skin and eyes, dark-colored urine, and light-colored stool."
chronic alcoholic intoxication,"Chronic alcoholic intoxication refers to long-term alcohol abuse, which can lead to severe health problems affecting various organs, especially the liver, brain, and heart. Chronic alcohol use can cause alcoholic liver disease, brain damage, and cardiovascular issues. Symptoms may include tremors, memory loss, fatigue, irritability, and physical symptoms such as jaundice or an enlarged liver. Over time, this can lead to complications such as cirrhosis, pancreatitis, or alcohol-induced dementia. Treatment involves alcohol cessation, nutritional support, and managing complications like liver failure."
chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced or blocked, leading to the accumulation of bile in the liver. This condition can be caused by a variety of factors, including liver diseases, gallstones, or bile duct obstructions. Symptoms often include jaundice (yellowing of the skin and eyes), itching, fatigue, and dark urine. Over time, it can cause liver damage, cirrhosis, or fibrosis. Treatment depends on the underlying cause and may include medications to improve bile flow, managing the cause of blockage, and in some cases, liver transplant."
chronic kidney failure,"Chronic kidney failure (also called chronic kidney disease or CKD) is the gradual loss of kidney function over time. The kidneys become less effective at filtering waste and excess fluids from the blood, which can lead to a buildup of toxins in the body. Risk factors include diabetes, high blood pressure, and a history of kidney disease. Symptoms may not appear in the early stages but can include swelling, fatigue, nausea, and changes in urination. Management includes controlling the underlying conditions, dietary changes, medications, and in advanced cases, dialysis or kidney transplant."
chronic obstructive airway disease,"Chronic obstructive pulmonary disease (COPD) is a progressive lung disease that makes it difficult to breathe. It is most commonly caused by long-term exposure to irritants such as cigarette smoke, air pollution, or dust. COPD includes conditions like emphysema and chronic bronchitis. Symptoms include shortness of breath, chronic cough, wheezing, and fatigue. COPD worsens over time and can lead to complications like respiratory failure or heart problems. While there is no cure, treatment involves medications (such as bronchodilators and steroids), pulmonary rehabilitation, and lifestyle changes to manage symptoms."
coronary arteriosclerosis,"Coronary arteriosclerosis refers to the thickening and hardening of the coronary arteries due to the buildup of plaque, primarily cholesterol, and other substances. This condition narrows the arteries and restricts blood flow to the heart muscle, which can lead to chest pain (angina), heart attacks, and other cardiovascular problems. Risk factors include high cholesterol, high blood pressure, smoking, and diabetes. Treatment focuses on lifestyle changes, medications to manage cholesterol and blood pressure, and sometimes surgical interventions such as angioplasty or coronary artery bypass surgery."
decubitus ulcer,"Decubitus ulcer or Pressure ulcer also known as bed sores or pressure sores, are areas of skin and tissue damage caused by prolonged pressure or friction, often affecting people who have difficulty moving. They typically develop on bony parts of the body, like the heels, elbows, hips, and tailbone. Symptoms include discolored patches that don’t change color when pressed—red on lighter skin, purple or blue on darker skin—along with warmth, sponginess, hardness, pain, or itchiness. Pressure ulcers form gradually but can sometimes appear within hours. People at higher risk include those with limited mobility, previous ulcers, recent surgery, poor circulation, fragile or sweaty skin, or conditions affecting sensation or weight. If untreated, ulcers may worsen, potentially reaching muscle or bone layers."
 degenerative polyarthritis,"Degenerative polyarthritis, also known as osteoarthritis (OA) when it affects multiple joints, is a condition characterized by the breakdown of cartilage in the joints, leading to pain, stiffness, and reduced mobility. It is a progressive disease that typically affects weight-bearing joints like the knees, hips, and spine, but can also impact smaller joints such as those in the hands and feet. Symptoms include joint pain, swelling, decreased flexibility, and crepitus (a grating sound during movement). Over time, the cartilage wears down, and the bones may begin to rub together, causing increased pain and potential deformities. Risk factors for degenerative polyarthritis include aging, joint injuries, obesity, and a family history of the disease."
deglutition disorder,"Deglutition disorder, also known as dysphagia, refers to difficulties in swallowing, which may occur at any stage of the swallowing process, from the mouth to the esophagus. The condition can result from neurological disorders (such as stroke or Parkinson’s disease), muscular issues, or anatomical abnormalities. Common symptoms include coughing or choking while eating or drinking, feeling like food is stuck in the throat or chest, and pain while swallowing. In severe cases, dysphagia can lead to malnutrition, dehydration, or aspiration pneumonia due to food or liquids entering the airway.Treatment depends on the underlying cause and may include swallowing therapy, changes in diet (such as thickened liquids), medications, or even surgical interventions to address structural issues."
delusion,"Delusional disorder is a mental health condition in which a person struggles to differentiate between reality and imagination, experiencing delusions that vary by type, such as persecutory, jealous, or grandiose delusions. Treatment is possible through psychotherapy and medication. A hallmark of this condition is a lack of self-awareness; individuals often fail to see their delusions as irrational, even if they acknowledge that others view them this way. Persecutory, jealous, or erotomanic delusions can lead to anger and violent behavior, and anxiety or depression may also develop as a result of these beliefs. Early symptoms include feelings of being exploited, excessive concern about the loyalty or trustworthiness of friends, interpreting benign remarks or events as threats, holding grudges, and being quick to react to perceived slights."
dependence,"Dependence refers to a state where an individual becomes reliant on a substance or behavior, typically due to addiction. This can involve physical dependence, where the body adapts to a substance and requires it to function normally, and psychological dependence, where a person feels compelled to engage in a behavior or consume a substance. Substance dependence, such as alcohol or drug dependence, can lead to withdrawal symptoms when the substance is reduced or stopped. Treatment involves medical intervention, counseling, and behavioral therapy to help the individual break free from dependency and manage withdrawal symptoms."
depression mental,"Mental depression, or clinical depression, is a serious mood disorder that causes persistent feelings of sadness, hopelessness, and loss of interest in daily activities. This condition can impact how a person thinks, feels, and functions, and may lead to physical symptoms such as fatigue, changes in appetite, and sleep disturbances. It is commonly associated with a chemical imbalance in the brain. Risk factors include genetics, traumatic events, chronic illness, or prolonged stress. Treatment typically involves psychotherapy, medications such as antidepressants, and lifestyle changes aimed at improving emotional well-being."
depressive disorder,"Depressive disorder, often referred to as major depressive disorder or MDD, is characterized by persistent low mood, lack of interest in activities, and feelings of worthlessness or guilt. It is a severe form of depression that can interfere with daily functioning and often requires professional treatment. Symptoms include sadness, loss of appetite, fatigue, and difficulty concentrating. Treatment may involve antidepressants, psychotherapy, and in some cases, lifestyle modifications, like exercise and support groups."
dimorphic hemmorhoids(piles),"Dimorphic hemorrhoids, commonly known as piles, are swollen blood vessels in the rectum or anus that can cause discomfort, pain, and bleeding. There are two types: internal hemorrhoids (inside the rectum) and external hemorrhoids (under the skin around the anus). Symptoms include itching, pain during bowel movements, and bleeding. The condition is often caused by straining during bowel movements, pregnancy, or prolonged sitting. Treatment includes dietary changes, over-the-counter creams, sitz baths, and in severe cases, surgical intervention."
drug reaction,"A drug reaction refers to an adverse response the body has to a medication, which can range from mild allergic reactions to severe, life-threatening conditions. Symptoms can include rashes, fever, difficulty breathing, and gastrointestinal upset. The severity of the reaction depends on the individual and the drug involved. Immediate medical attention is often necessary to manage severe reactions like anaphylaxis. Treatment typically involves discontinuing the drug and, if necessary, administering medications to counteract the symptoms."
edema pulmonary,"Pulmonary edema is a condition where fluid accumulates in the lungs, making it difficult to breathe. This can occur due to heart problems (cardiogenic pulmonary edema) or other causes, such as kidney failure or high altitudes. Symptoms include shortness of breath, wheezing, coughing, and rapid breathing. Pulmonary edema is a medical emergency that requires immediate treatment, which may include medications to reduce fluid buildup and oxygen therapy."
effusion pericardial,"Pericardial effusion occurs when excess fluid accumulates in the pericardial sac surrounding the heart. This can interfere with the heart's ability to pump effectively. Causes may include infection, trauma, cancer, or inflammatory conditions. Symptoms often include shortness of breath, chest pain, or dizziness, but mild cases may be asymptomatic. Treatment depends on the underlying cause and the severity of the effusion, which may include medications or, in some cases, drainage of the fluid."
embolism pulmonary,"Pulmonary embolism (PE) is a blockage in one of the pulmonary arteries in the lungs, usually caused by a blood clot that travels to the lungs from the legs (deep vein thrombosis). Symptoms include sudden shortness of breath, chest pain, coughing up blood, and rapid heartbeat. Pulmonary embolism is a life-threatening emergency that requires immediate treatment, often involving blood thinners or clot-dissolving drugs."
emphysema pulmonary,"Pulmonary emphysema is a chronic lung condition that involves the destruction of the air sacs (alveoli) in the lungs, leading to reduced surface area for gas exchange and difficulty breathing. It is most commonly caused by smoking. Symptoms include shortness of breath, chronic cough, and wheezing. Emphysema is a form of chronic obstructive pulmonary disease (COPD), and while it cannot be reversed, treatments like bronchodilators, steroids, and oxygen therapy can help manage symptoms."
encephalopathy,"Encephalopathy refers to a broad term for any disease that affects the brain, leading to altered mental status. It can be caused by a variety of factors, including infections, liver or kidney failure, trauma, or toxins. Symptoms include confusion, memory loss, altered behavior, and, in severe cases, seizures or coma. Treatment focuses on addressing the underlying cause, such as infection or metabolic imbalances, to restore brain function."
exanthema,"Exanthema is a general term for a skin rash or eruption that occurs as a result of an underlying infection or disease. It is often associated with viral infections such as measles, rubella, or chickenpox. The rash can vary in appearance, but common signs include red or inflamed patches of skin that may be itchy or blistering. Treatment is aimed at managing the symptoms and addressing the underlying cause, such as antiviral or antibiotic medications, if appropriate."
failure heart,"Heart failure means that the heart is unable to pump blood around the body properly. It usually happens because the heart has become too weak or stiff. It's sometimes called congestive heart failure, although this name is not widely used now. Heart failure does not mean your heart has stopped working. It means it needs some support to help it work better. It can occur at any age, but is most common in older people. Heart failure is a long-term condition that tends to get gradually worse over time. It cannot usually be cured, but the symptoms can often be controlled for many years. Symptoms of heart failure: The main symptoms of heart failure are: breathlessness after activity or at rest, feeling tired most of the time and finding exercise exhausting, feeling lightheaded or fainting, swollen ankles and legs. Some people also experience other symptoms, such as a persistent cough, a fast heart rate and dizziness. Symptoms can develop quickly (acute heart failure) or gradually over weeks or"
failure heart congestive,"Heart failure means that the heart is unable to pump blood around the body properly. It usually happens because the heart has become too weak or stiff. It's sometimes called congestive heart failure, although this name is not widely used now. Heart failure does not mean your heart has stopped working. It means it needs some support to help it work better. It can occur at any age, but is most common in older people. Heart failure is a long-term condition that tends to get gradually worse over time. It cannot usually be cured, but the symptoms can often be controlled for many years. Symptoms of heart failure: The main symptoms of heart failure are: breathlessness after activity or at rest, feeling tired most of the time and finding exercise exhausting, feeling lightheaded or fainting, swollen ankles and legs. Some people also experience other symptoms, such as a persistent cough, a fast heart rate and dizziness. Symptoms can develop quickly (acute heart failure) or gradually over weeks or"
failure kidney,"Chronic kidney disease (CKD) is a long-term condition where the kidneys do not function as well as they should. It’s common, often linked with aging, and more prevalent in individuals who are black or of South Asian origin. CKD can worsen over time, but complete kidney failure is uncommon, and many people with CKD live long lives. Early stages usually have no symptoms and may only be detected through blood or urine tests. Advanced CKD symptoms can include tiredness, swollen ankles, feet or hands, shortness of breath, nausea, and blood in urine. See a GP if you have persistent or concerning symptoms that may indicate kidney disease."
fibroid tumor,"A fibroid tumor is a non-cancerous growth that develops in or around the uterus. Also known as uterine fibroids, these tumors are typically made of muscle and fibrous tissue. Many women experience no symptoms, while others may suffer from heavy menstrual bleeding, pelvic pain, frequent urination, or complications during pregnancy. The exact cause of fibroid tumors is unknown, but they are influenced by hormones, particularly estrogen and progesterone. Risk factors include age (more common in women 30-40 years old), family history, and race (more common in African American women). Treatment may involve medications, hormonal therapy, or surgical interventions like myomectomy or hysterectomy."
fungal infection,"A fungal infection is caused by an overgrowth of fungi, such as yeasts or molds, in or on the body. Common types include athlete's foot, ringworm, candidiasis, and histoplasmosis. Symptoms vary depending on the type and location of the infection but often include itching, redness, swelling, and flaky skin. In more severe cases, fungal infections can affect internal organs and require antifungal medications. Risk factors include a weakened immune system, diabetes, use of antibiotics, or poor hygiene. Treatment typically involves topical antifungal creams or oral antifungal medications."
gastroenteritis,"Gastroenteritis, often referred to as stomach flu, is the inflammation of the stomach and intestines caused by infections from viruses, bacteria, or parasites. The most common viruses causing gastroenteritis are norovirus and rotavirus. Symptoms include diarrhea, vomiting, nausea, stomach cramps, and sometimes fever. Gastroenteritis is highly contagious and can spread through contaminated food, water, or contact with infected individuals. Most cases resolve within a few days, but dehydration can be a concern, particularly in young children and older adults. Treatment focuses on staying hydrated and managing symptoms, while more severe cases may require antibiotics or antivirals."
gerd,"Gastroesophageal reflux disease (GERD) is a condition in which the stomach contents leak backward from the stomach into the esophagus (food pipe). Food travels from your mouth to the stomach through your esophagus. GERD can irritate the food pipe and cause heartburn and other symptoms.CausesWhen you eat, food passes from the throat to the stomach through the esophagus. A ring of muscle fibers in the lower esophagus prevents swallowed food from moving back up. These muscle fibers are called the lower esophageal sphincter (LES).When this ring of muscle does not close all the way, stomach contents can leak back into the esophagus. This is called reflux or gastroesophageal reflux. Reflux may cause symptoms. Harsh stomach acids can also damage the lining of the esophagus.The risk factors for reflux include:Use of alcohol (possibly)Hiatal hernia(a condition in which part of the stomach moves above the diaphragm, which is the muscle that separates the chest and abdominal cavities)ObesityPregnancySclerodermaSmoking or tobacco useLying down within 3 hours after eatingHeartburn and gastroesophageal reflux can be caused by or made worse by pregnancy. Symptoms can also be caused by certain medicines, such as:Anticholinergics (for example, sea"
hemiparesis,"Hemiparesis is a condition characterized by weakness or partial paralysis on one side of the body, typically resulting from brain injury or neurological disorders such as stroke, traumatic brain injury, or brain tumors. The affected side may experience weakness in the arm, leg, or face, and the individual may have difficulty with motor control, balance, and coordination. The severity of hemiparesis can range from mild weakness to near-total paralysis. Treatment focuses on rehabilitation through physical therapy, occupational therapy, and in some cases, medications to manage underlying causes like stroke or neurological conditions."
hepatitis d,"Hepatitis D is a viral liver infection caused by the hepatitis D virus (HDV), which only occurs in people infected with hepatitis B (HBV). This is because HDV requires HBV to replicate. Hepatitis D is primarily transmitted through contact with infected blood, and it can worsen the liver damage caused by hepatitis B, increasing the risk of cirrhosis and liver cancer. Symptoms of hepatitis D are similar to those of hepatitis B, including jaundice, fatigue, abdominal pain, and dark urine. Prevention involves vaccination against hepatitis B, which can also prevent hepatitis D."
hepatitis e,"Hepatitis E is a viral liver disease caused by the hepatitis E virus (HEV). It is primarily transmitted through the consumption of contaminated water, making it more common in areas with poor sanitation. Most cases of hepatitis E are self-limiting and resolve on their own without long-term effects. However, it can be severe and even fatal in pregnant women, particularly during the third trimester. Symptoms include jaundice, nausea, fatigue, abdominal pain, and dark urine. While there is no specific antiviral treatment for hepatitis E, good hygiene practices and clean drinking water are key to prevention."
